MAMMALIA – СИСАРИ,,,,
"","Coraciidae(модровране)",Coracias garrulus,Модроврана,1-II; 2-II; 5-I
"","Meropidae(пчеларице)",Merops apiaster,Пчеларица,1-II; 2-II
"","Upupidae(пупавци)",Upupa epops,Пупавац,1-II
"CUCULIFORMES(КУКАВИЦЕ)","Cuculidae(кукавице)",Clamator glandarius,Ћубаста кукавица,1-II
"",,Cuculus canorus,Кукавица,1-III
"FALCONIFORMES(ГРАБЉИВИЦЕ)","Accipitridae(орлови и јастребови)",Accipiter brevipes,Краткопрсти кобац,1-II; 2-II; 3-II; 5-I
"",,Accipiter nisus,Кобац,1-II; 2-II; 3-II
"",,Aegypius monachus,Црни стрвинар,1-II; 2-II; 3-II; 5-I
"",,Aquila chrysaetos,Сури орао,1-II; 2-II; 3-II; 5-I
"",,Aquila fasciata,Пругасти орао,1-II; 2-II; 3-II; 5-I
"",,Aquila heliaca,Орао крсташ,"1-II; 2-I,II; 3-I; 5-I"
"",,Buteo buteo,Мишар,1-II; 2-II; 3-II
"",,Buteo lagopus,Гаћасти мишар,1-II; 2-II; 3-II
"",,Buteo rufinus,Риђи мишар,1-II; 2-II; 3-II; 5-I
"",,Circaetus galicus,Змијар,1-II; 2-II; 3-II; 5-I
"",,Circus aeruginosus,Еја мочварица,1-III; 2-II; 3-II; 5-I
"",,Circus cyaneus,Пољска еја,1-II; 2-II; 3-II; 5-I
"",,Circus macrourus,Степска еја,1-II; 2-II; 3-II; 5-I
"",,Circus pygargus,Еја ливадарка,1-II; 2-II; 3-II; 5-I
"",,Clanga clanga,Црни орао,1-II; 2-II; 3-II; 5-I
"",,Clanga pomarina,Орао кликташ,1-II; 2-II; 3-II; 5-I
"",,Gypaetus barbatus,Брадан,1-II; 2-II; 3-II; 5-I
"",,Gyps fulvus,Белоглави суп,1-II; 2-II; 3-II; 5-I
"",,Haliaeetus albicilla,Белорепан,"1-III; 2-I, II; 3-I; 5-I"
"",,Hieraaetus pennatus,Патуљасти орао,1-II; 2-II; 3-II; 5-I
"",,Milvus migrans,Црна луња,1-II; 2-II; 3-II; 5-I
"",,Milvus milvus,Риђа луња,1-II; 2-II; 3-II; 5-I
"",,Neophron percnopterus,Бела кања,1-II; 2-II; 3-II; 5-I
"",,Pernis apivorus,Осичар,1-III; 2-II; 3-II; 5-I
"","Falconidae(соколови)",Falco biarmicus,Кршки соко,1-II; 2-II; 3-II; 3-II; 5-I
"",,Falco cherrug,Степски соко,"1-II, Рез  6 нова; 2-II; 3-II; 5-I"
"",,Falco columbarius,Мали соко,1-II; 2-II; 3-II; 5-I
"",,Falco naumanni,Белонокта ветрушка,"1-II; 2-I,II; 3-II; 5-I"
"",,Falco peregrinus,Сиви соко,1-II; 2-II; 3-I; 5-I
"",,Falco subbuteo,Ластавичар,1-II; 2-II; 3-II
"",,Falco tinnunculus,Ветрушка,1-II; 2-II; 3-II
"",,Falco vespertinus,Сива ветрушка,1-II; 2-II; 3-II; 5-I
"","Pandionidae(орлови рибари)",Pandion haliaetus,Рибар,1-II; 2-II; 3-II; 5-I
"GALLIFORMES(КОКОШКЕ)","Phasianidae(коке)",Alectoris graeca,Камењарка,"1-III, Рез  6 нова; 5-II/А"
"",,Bonasa bonasia,Лештарка,"1-III; 5-I, II/Б"
